Place,2007,2008,2009,2010,2011
Canada,1.8,1.83,1.81,1.62,1.73
Newfoundland and Labrador,0.59,0.99,0.2,0.78,0.78
Prince Edward Island,0,1.43,0,0,0.69
Nova Scotia,1.39,1.28,1.6,2.22,2.33
New Brunswick,1.07,0.4,1.6,1.2,1.06
Quebec,1.17,1.19,1.12,1.06,1.32
Ontario,1.58,1.36,1.36,1.43,1.2
Manitoba,5.11,4.48,4.68,3.65,4.24
Saskatchewan,3,2.96,3.5,3.26,3.59
Alberta,2.51,3.06,2.59,2.07,2.88
British Columbia,2.04,2.67,2.65,1.83,1.9
Yukon,6.14,9.06,5.94,2.89,0
Northwest Territories,4.59,6.87,4.58,2.28,6.87
Nunavut,22.38,12.65,18.61,18.27,21.01
