Protein,AbsRatio
0,0.447058824
0,0.446118192
0,0.442417332
0.08,0.452488688
0.08,0.451649602
0.08,0.454439252
0.16,0.458963283
0.16,0.475
0.16,0.467203682
0.32,0.493670886
0.32,0.495464853
0.32,0.484988453
0.48,0.516880093
0.48,0.515570934
0.48,0.529685681
0.64,0.540669856
0.64,0.555831266
0.64,0.552220888
0.8,0.56975381
0.8,0.567181926
0.8,0.573317308
1,0.608695652
1,0.600241546
1,0.610576923
1.6,0.698372966
1.6,0.734986945
1.6,0.706493506
3.2,0.943661972
3.2,0.985094851
3.2,0.983805668
4.8,1.210826211
4.8,1.282163743
4.8,1.261380323
6.4,1.548742138
6.4,1.53129771
6.4,1.599378882
8,1.813614263
8,1.775
8,1.819834711
10,2.014705882
10,2.159292035
10,2.213286713
